Athlete,Points
98766183,947.3422617749195
98760519,6361.6374244326
98766281,907.1685732872648
98761891,5489.760211411022
98762993,2014.8025832806193
98766570,2068.357049888361
98765937,4404.339801230972
98760537,6309.679515584299
98764677,4708.146303543286
98765551,3742.0309200562297
98760447,5579.485358941054
98766328,6285.795159335823
98768270,1492.3210502261998
98764734,5612.921486898425
98761386,6444.600626490183
98760685,6281.9059998989105
98762180,5721.573296831729
98768960,3923.434135419355
98760419,8258.937991142273
98762350,3849.118036107771
98761412,3562.520655260254
98761167,5100.956895771246
98763749,1597.241000175476
98768016,5888.524778920709
98763261,2822.409897283945
98769587,4747.73368553005
98763374,5243.592952091742
98761498,5646.351341193746
98761841,4765.588843605945
98760752,4651.480951192173
98761082,3028.1896944658342
98764817,4487.91050232232
98765720,4830.27678569439
98768183,2250.292055902273
98768709,3045.6730003356934
98767669,5582.157562963704
98760145,3479.5234695067375
98762807,3812.5238397030334
98767951,5363.830462592807
98769136,3244.206169542233
98769879,2976.4022207399994
98769136,6738.760990111427
98762086,6033.430002239134
98764809,5037.094239058782
98765061,3938.797475614105
98761053,5478.940826913223
98763415,3322.3349061927615
98762719,4301.581243277237
98764475,3015.888351792225
98764295,1934.208965488846
98760821,1287.9698097683238
98766463,4415.8549849048195
98767193,5610.591702731839
98769545,6766.208002448082
98764498,5340.98554215096
98767725,3771.77840028026
98767300,4988.064887359082
98760411,3382.835881624378
98763089,4911.916102539612
98767811,2247.0945241737745
98762286,4084.9967669075845
98765021,1880.0824827453296
98768203,1010.8075787569971
98769602,5615.844613566922
98764865,898.9189889984227
98762659,3720.6344131311766
98764363,3018.3104552697378
98762031,232.13299942016602
98762095,4066.47321235958
98761877,4109.549037175833
98760746,2459.3868726303836
98768529,5418.183581502419
98768722,4196.3664139643215
98760867,3794.4801358343607
98765618,7417.245996952057
98767882,3704.705071651298
98760737,3101.2341932713416
98761828,1183.0810883446331
98761986,3441.0152125187105
98767165,2543.701960790784
98766471,1903.3580635232925
98764532,3811.643093470432
98766644,7207.308925837917
98767943,5504.672374596255
98766833,5315.908140547963
98763475,4990.570755533504
98761114,5094.488969243634
98765561,3904.8285026568333
98766084,832.3382505927086
98764264,3041.9444895431316
98763066,6761.935498655572
98766704,3743.2753533442674
98767300,5563.130912761417
98763679,3315.129571200963
98766332,6831.858934630798
98764440,2385.6394502314397
98762888,3646.753535714023
98767896,4292.597070548681
98762157,4515.907911472366
98763294,4458.068826559391
98763643,3001.189372435979
98765596,4012.4292190835577
98764895,3113.458817896242
98768282,4569.878372991516
98766544,4171.548042994207
98769661,5147.253041595354
98763524,4410.960662680559
98767219,1970.6217777251854
98761872,497.0539994239807
98769877,1646.0020137740485
98761131,5455.262349194082
98760109,6810.052008390427
98763580,4969.6937375361695
98767824,3941.0192968103556
98763135,7075.669997364283
98760806,4379.466953132048
98763041,5560.733532548107
98761280,5016.142403812584
98769154,6068.129632721513
98767725,5416.504223015608
98769259,4485.300312145037
98765329,2221.498933314134
98767987,6091.29265504721
98765466,4482.460773213876
98769249,5751.651401461655
98766941,5494.958683869007
98765605,5999.179384114965
98767422,1611.6254298720023
98768140,5882.318005530453
98767314,4117.877716967041
98760320,3668.8872201139598
98760687,3225.265981530836
98767832,5900.378456506939
98765159,4570.091510670227
98761205,675.8871362046738
98767893,3625.6491330793733
98765228,2015.5085639279096
98769113,349.7517069575958
98766044,5307.518423137597
98760616,4059.757004773721
98768680,5096.013697236261
98760253,3758.2676815259993
98767942,270.2604473666687
98762058,5247.285512476259
98762961,5353.389227644702
98760049,2042.795610171769
98768896,1737.991844432579
98763806,362.29399967193604
98761759,6034.722700228739
98769914,3448.476424995066
98764344,3974.435165073227
98761806,3575.9162604631515
98762502,3772.702710436989
98766460,3903.813790275354
98766595,1035.2805541073647
98769176,4649.63011052161
98766523,494.94968113708967
98765217,4292.48408463544
98765393,3305.291816839307
98767816,3802.4083234947825
98769455,757.8130016326904
98768049,3919.2080414187676
98765269,5531.053276166058
98764988,1836.9332449012086
98765663,2397.298423964512
98762359,4199.383725135924
98769318,4816.321564401853
98769572,3106.331351758233
98760685,4705.981242998672
98768057,6123.043205348752
98765268,5269.192086049471
98763693,6569.395003795624
98761791,5738.529975521375
98767766,7013.179698621155
98764773,4458.692631417518
98766003,1394.1817796977366
98769318,1303.8237956777016
98766429,1712.9571105460072
98766391,4152.983945049369
98763524,287.3620983278522
98762110,4998.081574274898
98761366,153.85605318662834
98760954,4771.00715732284
98763348,1265.6416372911788
98760401,3473.5019465869673
98761212,2814.9049968719482
98768306,2449.6553864073503
98760597,3271.3729777714307
98760604,5726.355985248658
98767660,225.125
98762292,3381.6460595328795
98768161,6949.138182062161
98767323,4300.7828380795845
98761642,4233.057387683013
98769427,1545.0539939217074
98765548,5754.609092542268
98767221,3851.091371447589
98767534,167.39606632434834
98766222,4378.844830143199
98766111,2727.2349999535086
98762727,387.3996061923437
98765243,3391.8799894852114
98764844,2010.001539001686
98769321,3682.3780600457217
98766422,2979.3096310898786
98764609,2862.273284111296
98765810,4352.055464400384
98763341,1038.1154830088653
98765477,629.2766757704735
98767852,3452.801355752301
98761396,309.9118437904558
98761056,2794.48017482856
98767186,2572.1383863336114
98764802,1349.5108999779561
98766966,1202.9197855343145
98766659,2857.650518395412
98762515,835.8819882850894
98765112,2178.0578266438465
98767271,6216.1080042123795
98769763,3491.7696958443553
98763618,5672.929526492184
98769171,1798.23025679918
98769380,620.8225605042134
98766810,4370.425012665259
98766613,1744.3802523048134
98762029,4722.544355904952
98763122,3463.616846466497
98762648,2104.023381990345
98763683,6142.860011156648
98767872,98.70168764134598
98768646,2457.5200302009634
98769720,4283.941105296211
98767488,4556.0017637360315
98769496,4680.035164877007
98764822,349.5827100864668
98769474,2811.9101909684105
98760984,2072.9291206572148
